batch_id,game_number,match_id,timestamp_utc,white_profile,black_profile,move_number,player_color,piece_type,from_square,to_square,promotion,result,result_type
20260420_123703,1,20260420_123703_g1,2026-04-20T12:37:09.9294560Z,Baseline,Baseline,1,Black,King,b3,c4,,white wins by checkmate.,WhiteWin
20260420_123703,1,20260420_123703_g1,2026-04-20T12:37:09.9294560Z,Baseline,Baseline,2,White,Queen,b2,e5,,white wins by checkmate.,WhiteWin
20260420_123703,1,20260420_123703_g1,2026-04-20T12:37:09.9294560Z,Baseline,Baseline,3,Black,King,c4,d3,,white wins by checkmate.,WhiteWin
20260420_123703,1,20260420_123703_g1,2026-04-20T12:37:09.9294560Z,Baseline,Baseline,4,White,King,b1,a2,,white wins by checkmate.,WhiteWin
20260420_123703,1,20260420_123703_g1,2026-04-20T12:37:09.9294560Z,Baseline,Baseline,5,Black,King,d3,d2,,white wins by checkmate.,WhiteWin
20260420_123703,1,20260420_123703_g1,2026-04-20T12:37:09.9294560Z,Baseline,Baseline,6,White,King,a2,b3,,white wins by checkmate.,WhiteWin
20260420_123703,1,20260420_123703_g1,2026-04-20T12:37:09.9294560Z,Baseline,Baseline,7,Black,King,d2,d3,,white wins by checkmate.,WhiteWin
20260420_123703,1,20260420_123703_g1,2026-04-20T12:37:09.9294560Z,Baseline,Baseline,8,White,King,b3,b4,,white wins by checkmate.,WhiteWin
20260420_123703,1,20260420_123703_g1,2026-04-20T12:37:09.9294560Z,Baseline,Baseline,9,Black,King,d3,d2,,white wins by checkmate.,WhiteWin
20260420_123703,1,20260420_123703_g1,2026-04-20T12:37:09.9294560Z,Baseline,Baseline,10,White,Queen,e5,e4,,white wins by checkmate.,WhiteWin
20260420_123703,1,20260420_123703_g1,2026-04-20T12:37:09.9294560Z,Baseline,Baseline,11,Black,King,d2,c1,,white wins by checkmate.,WhiteWin
20260420_123703,1,20260420_123703_g1,2026-04-20T12:37:09.9294560Z,Baseline,Baseline,12,White,King,b4,c3,,white wins by checkmate.,WhiteWin
20260420_123703,1,20260420_123703_g1,2026-04-20T12:37:09.9294560Z,Baseline,Baseline,13,Black,King,c1,d1,,white wins by checkmate.,WhiteWin
20260420_123703,1,20260420_123703_g1,2026-04-20T12:37:09.9294560Z,Baseline,Baseline,14,White,Queen,e4,e6,,white wins by checkmate.,WhiteWin
20260420_123703,1,20260420_123703_g1,2026-04-20T12:37:09.9294560Z,Baseline,Baseline,15,Black,King,d1,c1,,white wins by checkmate.,WhiteWin
20260420_123703,1,20260420_123703_g1,2026-04-20T12:37:09.9294560Z,Baseline,Baseline,16,White,Queen,e6,e1,,white wins by checkmate.,WhiteWin
20260420_123703,2,20260420_123703_g2,2026-04-20T12:37:16.6576770Z,Baseline,Baseline,1,Black,King,b3,c4,,white wins by checkmate.,WhiteWin
20260420_123703,2,20260420_123703_g2,2026-04-20T12:37:16.6576770Z,Baseline,Baseline,2,White,Queen,b2,e5,,white wins by checkmate.,WhiteWin
20260420_123703,2,20260420_123703_g2,2026-04-20T12:37:16.6576770Z,Baseline,Baseline,3,Black,King,c4,d3,,white wins by checkmate.,WhiteWin
20260420_123703,2,20260420_123703_g2,2026-04-20T12:37:16.6576770Z,Baseline,Baseline,4,White,King,b1,a2,,white wins by checkmate.,WhiteWin
20260420_123703,2,20260420_123703_g2,2026-04-20T12:37:16.6576770Z,Baseline,Baseline,5,Black,King,d3,d2,,white wins by checkmate.,WhiteWin
20260420_123703,2,20260420_123703_g2,2026-04-20T12:37:16.6576770Z,Baseline,Baseline,6,White,King,a2,b3,,white wins by checkmate.,WhiteWin
20260420_123703,2,20260420_123703_g2,2026-04-20T12:37:16.6576770Z,Baseline,Baseline,7,Black,King,d2,d3,,white wins by checkmate.,WhiteWin
20260420_123703,2,20260420_123703_g2,2026-04-20T12:37:16.6576770Z,Baseline,Baseline,8,White,King,b3,b4,,white wins by checkmate.,WhiteWin
20260420_123703,2,20260420_123703_g2,2026-04-20T12:37:16.6576770Z,Baseline,Baseline,9,Black,King,d3,d2,,white wins by checkmate.,WhiteWin
20260420_123703,2,20260420_123703_g2,2026-04-20T12:37:16.6576770Z,Baseline,Baseline,10,White,Queen,e5,e4,,white wins by checkmate.,WhiteWin
20260420_123703,2,20260420_123703_g2,2026-04-20T12:37:16.6576770Z,Baseline,Baseline,11,Black,King,d2,c1,,white wins by checkmate.,WhiteWin
20260420_123703,2,20260420_123703_g2,2026-04-20T12:37:16.6576770Z,Baseline,Baseline,12,White,King,b4,c3,,white wins by checkmate.,WhiteWin
20260420_123703,2,20260420_123703_g2,2026-04-20T12:37:16.6576770Z,Baseline,Baseline,13,Black,King,c1,d1,,white wins by checkmate.,WhiteWin
20260420_123703,2,20260420_123703_g2,2026-04-20T12:37:16.6576770Z,Baseline,Baseline,14,White,Queen,e4,e6,,white wins by checkmate.,WhiteWin
20260420_123703,2,20260420_123703_g2,2026-04-20T12:37:16.6576770Z,Baseline,Baseline,15,Black,King,d1,c1,,white wins by checkmate.,WhiteWin
20260420_123703,2,20260420_123703_g2,2026-04-20T12:37:16.6576770Z,Baseline,Baseline,16,White,Queen,e6,e1,,white wins by checkmate.,WhiteWin
