batch_id,game_number,match_id,timestamp_utc,white_profile,black_profile,move_number,player_color,piece_type,from_square,to_square,promotion,result,result_type
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,1,Black,King,g8,g7,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,2,White,King,g1,f2,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,3,Black,King,g7,f6,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,4,White,King,f2,e2,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,5,Black,Pawn,h4,h3,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,6,White,Pawn,g2,h3,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,7,Black,King,f6,g5,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,8,White,King,e2,f3,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,9,Black,King,g5,h4,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,10,White,King,f3,e4,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,11,Black,King,h4,h3,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,12,White,King,e4,e5,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,13,Black,Pawn,f7,f5,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,14,White,King,e5,f4,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,15,Black,King,h3,h2,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,16,White,King,f4,g5,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,17,Black,King,h2,g3,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,18,White,King,g5,g6,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,19,Black,Pawn,f5,f4,,black wins by checkmate.,BlackWin
20260420_124057,1,20260420_124057_g1,2026-04-20T12:41:10.2688430Z,Baseline,Baseline,20,White,King,g6,h6,,black wins by checkmate.,BlackWin
