game_id,ply,move_number,side_to_move,move_uci,piece_type,from_square,to_square,promotion,evaluation,depth,nodes_searched,leaf_evaluations,transposition_hits,alpha_beta_cutoffs,time_ms,search_algorithm,evaluation_version,used_opening_book,fen_after
20260421_121823_g1,73,37,Black,d6e5,King,d6,e5,,100,8,481130,139635,248787,65191,577.812,MinimaxAB,Baseline_Evaluator,False,8/8/1bP5/4k3/2K4p/5B1P/8/8 w - - 65 37
20260421_121823_g1,74,37,White,f3e2,Bishop,f3,e2,,100,8,366140,117170,169438,57313,503.502,MinimaxAB,Baseline_Evaluator,False,8/8/1bP5/4k3/2K4p/7P/4B3/8 b - - 66 38
20260421_121823_g1,75,38,Black,e5e6,King,e5,e6,,100,8,621719,224362,286992,78518,800.705,MinimaxAB,Baseline_Evaluator,False,8/8/1bP1k3/8/2K4p/7P/4B3/8 w - - 67 38
20260421_121823_g1,76,38,White,c4d3,King,c4,d3,,100,8,329833,97261,162667,50906,425.972,MinimaxAB,Baseline_Evaluator,False,8/8/1bP1k3/8/7p/3K3P/4B3/8 b - - 68 39
20260421_121823_g1,77,39,Black,e6d5,King,e6,d5,,100,8,608667,177900,315861,81471,736.183,MinimaxAB,Baseline_Evaluator,False,8/8/1bP5/3k4/7p/3K3P/4B3/8 w - - 69 39
20260421_121823_g1,78,39,White,e2f3,Bishop,e2,f3,,95,8,196667,62919,90534,31188,262.772,MinimaxAB,Baseline_Evaluator,False,8/8/1bP5/3k4/7p/3K1B1P/8/8 b - - 70 40
20260421_121823_g1,79,40,Black,d5e5,King,d5,e5,,100,9,461479,134163,223445,78179,603.066,MinimaxAB,Baseline_Evaluator,False,8/8/1bP5/4k3/7p/3K1B1P/8/8 w - - 71 40
20260421_121823_g1,80,40,White,d3c4,King,d3,c4,,100,8,293918,97818,132020,45325,410.378,MinimaxAB,Baseline_Evaluator,False,8/8/1bP5/4k3/2K4p/5B1P/8/8 b - - 72 41
20260421_121823_g1,81,41,Black,b6d8,Bishop,b6,d8,,100,8,601006,214425,282732,72425,757.591,MinimaxAB,Baseline_Evaluator,False,3b4/8/2P5/4k3/2K4p/5B1P/8/8 w - - 73 41
20260421_121823_g1,82,41,White,c4c3,King,c4,c3,,100,8,309888,106839,135973,47981,429.848,MinimaxAB,Baseline_Evaluator,False,3b4/8/2P5/4k3/7p/2K2B1P/8/8 b - - 74 42
20260421_121823_g1,83,42,Black,d8a5,Bishop,d8,a5,,100,8,590819,176248,305116,76159,718.315,MinimaxAB,Baseline_Evaluator,False,8/8/2P5/b3k3/7p/2K2B1P/8/8 w - - 75 42
20260421_121823_g1,84,42,White,c3d3,King,c3,d3,,95,9,381902,115029,182444,62223,509.293,MinimaxAB,Baseline_Evaluator,False,8/8/2P5/b3k3/7p/3K1B1P/8/8 b - - 76 43
20260421_121823_g1,85,43,Black,a5b6,Bishop,a5,b6,,95,8,546026,194334,254267,68161,694.428,MinimaxAB,Baseline_Evaluator,False,8/8/1bP5/4k3/7p/3K1B1P/8/8 w - - 77 43
20260421_121823_g1,86,43,White,d3c4,King,d3,c4,,100,8,291913,97535,130571,45006,408.936,MinimaxAB,Baseline_Evaluator,False,8/8/1bP5/4k3/2K4p/5B1P/8/8 b - - 78 44
20260421_121823_g1,87,44,Black,b6d8,Bishop,b6,d8,,100,8,601006,214425,282732,72425,751.282,MinimaxAB,Baseline_Evaluator,False,3b4/8/2P5/4k3/2K4p/5B1P/8/8 w - - 79 44
