batch_id,game_id,game_number,timestamp_utc,engine_build,white_engine,black_engine,starting_fen,total_moves,ply,move_number,side_to_move,fen_before,move_uci,move_san,fen_after,piece_type,from_square,to_square,promotion,engine_name,search_algorithm,evaluation_version,depth,evaluation,nodes_searched,leaf_evaluations,transposition_hits,alpha_beta_cutoffs,time_ms,best_move,principal_variation,quiescence_used,move_ordering_used,mobility_term,king_safety_term,used_opening_book,result,termination_reason,result_type
20260421_115616,20260421_115616_g1,1,2026-04-21T11:56:57.4537050Z,1.0,Baseline,Baseline,3b4/8/2P5/4k3/7p/3K3P/6B1/8 b - - 24 1,28,1,1,Black,3b4/8/2P5/4k3/7p/3K3P/6B1/8 b - - 24 1,d8b6,,8/8/1bP5/4k3/7p/3K3P/6B1/8 w - - 25 1,Bishop,d8,b6,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,475302,178426,213747,58361,611.069,d8b6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115616,20260421_115616_g1,1,2026-04-21T11:56:57.4537050Z,1.0,Baseline,Baseline,3b4/8/2P5/4k3/7p/3K3P/6B1/8 b - - 24 1,28,2,1,White,8/8/1bP5/4k3/7p/3K3P/6B1/8 w - - 25 1,g2f3,,8/8/1bP5/4k3/7p/3K1B1P/8/8 b - - 26 2,Bishop,g2,f3,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,234497,78351,105999,35029,321.770,g2f3,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115616,20260421_115616_g1,1,2026-04-21T11:56:57.4537050Z,1.0,Baseline,Baseline,3b4/8/2P5/4k3/7p/3K3P/6B1/8 b - - 24 1,28,3,2,Black,8/8/1bP5/4k3/7p/3K1B1P/8/8 b - - 26 2,e5d6,,8/8/1bPk4/8/7p/3K1B1P/8/8 w - - 27 2,King,e5,d6,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,627410,221138,294902,78193,798.355,e5d6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115616,20260421_115616_g1,1,2026-04-21T11:56:57.4537050Z,1.0,Baseline,Baseline,3b4/8/2P5/4k3/7p/3K3P/6B1/8 b - - 24 1,28,4,2,White,8/8/1bPk4/8/7p/3K1B1P/8/8 w - - 27 2,d3c3,,8/8/1bPk4/8/7p/2K2B1P/8/8 b - - 28 3,King,d3,c3,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,365693,114268,171267,58035,488.998,d3c3,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115616,20260421_115616_g1,1,2026-04-21T11:56:57.4537050Z,1.0,Baseline,Baseline,3b4/8/2P5/4k3/7p/3K3P/6B1/8 b - - 24 1,28,5,3,Black,8/8/1bPk4/8/7p/2K2B1P/8/8 b - - 28 3,d6e6,,8/8/1bP1k3/8/7p/2K2B1P/8/8 w - - 29 3,King,d6,e6,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,685066,177327,372901,97234,819.237,d6e6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115616,20260421_115616_g1,1,2026-04-21T11:56:57.4537050Z,1.0,Baseline,Baseline,3b4/8/2P5/4k3/7p/3K3P/6B1/8 b - - 24 1,28,6,3,White,8/8/1bP1k3/8/7p/2K2B1P/8/8 w - - 29 3,c3b4,,8/8/1bP1k3/8/1K5p/5B1P/8/8 b - - 30 4,King,c3,b4,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,348013,101197,172173,54460,451.737,c3b4,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115616,20260421_115616_g1,1,2026-04-21T11:56:57.4537050Z,1.0,Baseline,Baseline,3b4/8/2P5/4k3/7p/3K3P/6B1/8 b - - 24 1,28,7,4,Black,8/8/1bP1k3/8/1K5p/5B1P/8/8 b - - 30 4,e6f5,,8/8/1bP5/5k2/1K5p/5B1P/8/8 w - - 31 4,King,e6,f5,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,755987,197011,416652,100853,890.068,e6f5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115616,20260421_115616_g1,1,2026-04-21T11:56:57.4537050Z,1.0,Baseline,Baseline,3b4/8/2P5/4k3/7p/3K3P/6B1/8 b - - 24 1,28,8,4,White,8/8/1bP5/5k2/1K5p/5B1P/8/8 w - - 31 4,f3h5,,8/8/1bP5/5k1B/1K5p/7P/8/8 b - - 32 5,Bishop,f3,h5,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,297837,86560,148379,45168,377.083,f3h5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115616,20260421_115616_g1,1,2026-04-21T11:56:57.4537050Z,1.0,Baseline,Baseline,3b4/8/2P5/4k3/7p/3K3P/6B1/8 b - - 24 1,28,9,5,Black,8/8/1bP5/5k1B/1K5p/7P/8/8 b - - 32 5,f5e5,,8/8/1bP5/4k2B/1K5p/7P/8/8 w - - 33 5,King,f5,e5,,Baseline,MinimaxAB,Baseline_Evaluator,8,110,500529,180708,232957,59777,631.485,f5e5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115616,20260421_115616_g1,1,2026-04-21T11:56:57.4537050Z,1.0,Baseline,Baseline,3b4/8/2P5/4k3/7p/3K3P/6B1/8 b - - 24 1,28,10,5,White,8/8/1bP5/4k2B/1K5p/7P/8/8 w - - 33 5,b4c4,,8/8/1bP5/4k2B/2K4p/7P/8/8 b - - 34 6,King,b4,c4,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,316785,100631,146696,49711,432.510,b4c4,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
