batch_id,game_id,game_number,timestamp_utc,engine_build,white_engine,black_engine,starting_fen,total_moves,ply,move_number,side_to_move,fen_before,move_uci,move_san,fen_after,piece_type,from_square,to_square,promotion,engine_name,search_algorithm,evaluation_version,depth,evaluation,nodes_searched,leaf_evaluations,transposition_hits,alpha_beta_cutoffs,time_ms,best_move,principal_variation,quiescence_used,move_ordering_used,mobility_term,king_safety_term,used_opening_book,result,termination_reason,result_type
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,37,19,White,8/8/1bP1k3/8/7p/2K2B1P/8/8 w - - 29 19,c3b4,,8/8/1bP1k3/8/1K5p/5B1P/8/8 b - - 30 19,King,c3,b4,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,348013,101197,172173,54460,455.933,c3b4,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,38,19,Black,8/8/1bP1k3/8/1K5p/5B1P/8/8 b - - 30 19,e6f5,,8/8/1bP5/5k2/1K5p/5B1P/8/8 w - - 31 20,King,e6,f5,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,755987,197011,416652,100853,890.457,e6f5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,39,20,White,8/8/1bP5/5k2/1K5p/5B1P/8/8 w - - 31 20,f3h5,,8/8/1bP5/5k1B/1K5p/7P/8/8 b - - 32 20,Bishop,f3,h5,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,297837,86560,148379,45168,381.115,f3h5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,40,20,Black,8/8/1bP5/5k1B/1K5p/7P/8/8 b - - 32 20,f5e5,,8/8/1bP5/4k2B/1K5p/7P/8/8 w - - 33 21,King,f5,e5,,Baseline,MinimaxAB,Baseline_Evaluator,8,110,500529,180708,232957,59777,632.019,f5e5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,41,21,White,8/8/1bP5/4k2B/1K5p/7P/8/8 w - - 33 21,b4c4,,8/8/1bP5/4k2B/2K4p/7P/8/8 b - - 34 21,King,b4,c4,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,316785,100631,146696,49711,431.908,b4c4,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,42,21,Black,8/8/1bP5/4k2B/2K4p/7P/8/8 b - - 34 21,e5d6,,8/8/1bPk4/7B/2K4p/7P/8/8 w - - 35 22,King,e5,d6,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,537637,192203,248335,68286,694.401,e5d6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,43,22,White,8/8/1bPk4/7B/2K4p/7P/8/8 w - - 35 22,h5f3,,8/8/1bPk4/8/2K4p/5B1P/8/8 b - - 36 22,Bishop,h5,f3,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,300197,98899,136639,46192,406.342,h5f3,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,44,22,Black,8/8/1bPk4/8/2K4p/5B1P/8/8 b - - 36 22,d6e6,,8/8/1bP1k3/8/2K4p/5B1P/8/8 w - - 37 23,King,d6,e6,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,487371,140895,252766,65634,588.101,d6e6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,45,23,White,8/8/1bP1k3/8/2K4p/5B1P/8/8 w - - 37 23,f3e2,,8/8/1bP1k3/8/2K4p/7P/4B3/8 b - - 38 23,Bishop,f3,e2,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,329095,97607,160900,51538,430.893,f3e2,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,46,23,Black,8/8/1bP1k3/8/2K4p/7P/4B3/8 b - - 38 23,e6e5,,8/8/1bP5/4k3/2K4p/7P/4B3/8 w - - 39 24,King,e6,e5,,Baseline,MinimaxAB,Baseline_Evaluator,8,110,577939,169279,297318,79715,712.399,e6e5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
