batch_id,game_number,match_id,timestamp_utc,white_profile,black_profile,move_number,player_color,piece_type,from_square,to_square,promotion,result,result_type
20260418_074803,1,20260418_074803_g1,2026-04-18T07:48:04.2637300Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
20260418_074803,2,20260418_074803_g2,2026-04-18T07:48:04.5969060Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
20260418_074803,3,20260418_074803_g3,2026-04-18T07:48:04.9300460Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
20260418_074803,4,20260418_074803_g4,2026-04-18T07:48:05.2751530Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
20260418_074803,5,20260418_074803_g5,2026-04-18T07:48:05.6084770Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
20260418_074803,6,20260418_074803_g6,2026-04-18T07:48:05.9368680Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
20260418_074803,7,20260418_074803_g7,2026-04-18T07:48:06.2719740Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
20260418_074803,8,20260418_074803_g8,2026-04-18T07:48:06.6054910Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
20260418_074803,9,20260418_074803_g9,2026-04-18T07:48:06.9387490Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
20260418_074803,10,20260418_074803_g10,2026-04-18T07:48:07.2722780Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
20260418_074803,11,20260418_074803_g11,2026-04-18T07:48:07.6061730Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
20260418_074803,12,20260418_074803_g12,2026-04-18T07:48:07.9398630Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
20260418_074803,13,20260418_074803_g13,2026-04-18T07:48:08.2728750Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
20260418_074803,14,20260418_074803_g14,2026-04-18T07:48:08.6063480Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
20260418_074803,15,20260418_074803_g15,2026-04-18T07:48:08.9398570Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
20260418_074803,16,20260418_074803_g16,2026-04-18T07:48:09.2732680Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
20260418_074803,17,20260418_074803_g17,2026-04-18T07:48:09.6063760Z,Baseline,Baseline,1,White,King,d3,e3,,Draw by insufficient material.,DrawInsufficientMaterial
