batch_id,game_number,match_id,timestamp_utc,white_profile,black_profile,move_number,player_color,piece_type,from_square,to_square,promotion,result,result_type
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,1,Black,King,g8,g7,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,2,White,King,g1,f2,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,3,Black,King,g7,f6,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,4,White,King,f2,e2,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,5,Black,Pawn,h4,h3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,6,White,Pawn,g2,h3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,7,Black,King,f6,g5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,8,White,King,e2,f3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,9,Black,King,g5,h4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,10,White,King,f3,e4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,11,Black,King,h4,h3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,12,White,King,e4,e5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,13,Black,Pawn,f7,f5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,14,White,King,e5,f4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,15,Black,King,h3,h2,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,16,White,King,f4,g5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,17,Black,King,h2,g3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,18,White,King,g5,g6,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_123747,1,20260420_123747_g1,2026-04-20T12:38:09.8724900Z,Baseline,Baseline,19,Black,Pawn,f5,f4,,Draw by threefold repetition.,DrawThreefoldRepetition
