batch_id,game_id,game_number,timestamp_utc,engine_build,white_engine,black_engine,starting_fen,total_moves,ply,move_number,side_to_move,fen_before,move_uci,move_san,fen_after,piece_type,from_square,to_square,promotion,engine_name,search_algorithm,evaluation_version,depth,evaluation,nodes_searched,leaf_evaluations,transposition_hits,alpha_beta_cutoffs,time_ms,best_move,principal_variation,quiescence_used,move_ordering_used,mobility_term,king_safety_term,used_opening_book,result,termination_reason,result_type
20260421_121026,20260421_121026_g1,1,2026-04-21T12:11:42.3883130Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/5b1p/7P/8/8 b - - 0 1,44,1,1,Black,3k4/2n2B2/1KP5/2B2p2/5b1p/7P/8/8 b - - 0 1,f4g3,,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,Bishop,f4,g3,,Baseline,MinimaxAB,Baseline_Evaluator,6,105,159223,83299,50135,17780,232.804,f4g3,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_121026,20260421_121026_g1,1,2026-04-21T12:11:42.3883130Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/5b1p/7P/8/8 b - - 0 1,44,2,1,White,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,b6b7,,3k4/1Kn2B2/2P5/2B2p2/7p/6bP/8/8 b - - 2 2,King,b6,b7,,Baseline,MinimaxAB,Baseline_Evaluator,6,65,138435,77279,34956,19189,217.035,b6b7,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_121026,20260421_121026_g1,1,2026-04-21T12:11:42.3883130Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/5b1p/7P/8/8 b - - 0 1,44,3,2,Black,3k4/1Kn2B2/2P5/2B2p2/7p/6bP/8/8 b - - 2 2,c7b5,,3k4/1K3B2/2P5/1nB2p2/7p/6bP/8/8 w - - 3 2,Knight,c7,b5,,Baseline,MinimaxAB,Baseline_Evaluator,6,105,177788,92083,57912,18997,241.792,c7b5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_121026,20260421_121026_g1,1,2026-04-21T12:11:42.3883130Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/5b1p/7P/8/8 b - - 0 1,44,4,2,White,3k4/1K3B2/2P5/1nB2p2/7p/6bP/8/8 w - - 3 2,f7g6,,3k4/1K6/2P3B1/1nB2p2/7p/6bP/8/8 b - - 4 3,Bishop,f7,g6,,Baseline,MinimaxAB,Baseline_Evaluator,6,70,125920,71712,28073,18841,200.198,f7g6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_121026,20260421_121026_g1,1,2026-04-21T12:11:42.3883130Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/5b1p/7P/8/8 b - - 0 1,44,5,3,Black,3k4/1K6/2P3B1/1nB2p2/7p/6bP/8/8 b - - 4 3,b5d6,,3k4/1K6/2Pn2B1/2B2p2/7p/6bP/8/8 w - - 5 3,Knight,b5,d6,,Baseline,MinimaxAB,Baseline_Evaluator,6,155,119254,64199,33036,15274,177.560,b5d6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_121026,20260421_121026_g1,1,2026-04-21T12:11:42.3883130Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/5b1p/7P/8/8 b - - 0 1,44,6,3,White,3k4/1K6/2Pn2B1/2B2p2/7p/6bP/8/8 w - - 5 3,c5d6,,3k4/1K6/2PB2B1/5p2/7p/6bP/8/8 b - - 0 4,Bishop,c5,d6,,Baseline,MinimaxAB,Baseline_Evaluator,6,70,31052,18536,5730,4689,52.020,c5d6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_121026,20260421_121026_g1,1,2026-04-21T12:11:42.3883130Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/5b1p/7P/8/8 b - - 0 1,44,7,4,Black,3k4/1K6/2PB2B1/5p2/7p/6bP/8/8 b - - 0 4,g3d6,,3k4/1K6/2Pb2B1/5p2/7p/7P/8/8 w - - 0 4,Bishop,g3,d6,,Baseline,MinimaxAB,Baseline_Evaluator,9,90,835103,258282,365605,171856,1090.454,g3d6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_121026,20260421_121026_g1,1,2026-04-21T12:11:42.3883130Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/5b1p/7P/8/8 b - - 0 1,44,8,4,White,3k4/1K6/2Pb2B1/5p2/7p/7P/8/8 w - - 0 4,g6f5,,3k4/1K6/2Pb4/5B2/7p/7P/8/8 b - - 0 5,Bishop,g6,f5,,Baseline,MinimaxAB,Baseline_Evaluator,8,90,287419,95363,134217,41032,351.190,g6f5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_121026,20260421_121026_g1,1,2026-04-21T12:11:42.3883130Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/5b1p/7P/8/8 b - - 0 1,44,9,5,Black,3k4/1K6/2Pb4/5B2/7p/7P/8/8 b - - 0 5,d6c7,,3k4/1Kb5/2P5/5B2/7p/7P/8/8 w - - 1 5,Bishop,d6,c7,,Baseline,MinimaxAB,Baseline_Evaluator,8,130,326405,99281,166486,41532,384.598,d6c7,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_121026,20260421_121026_g1,1,2026-04-21T12:11:42.3883130Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/5b1p/7P/8/8 b - - 0 1,44,10,5,White,3k4/1Kb5/2P5/5B2/7p/7P/8/8 w - - 1 5,f5c2,,3k4/1Kb5/2P5/8/7p/7P/2B5/8 b - - 2 6,Bishop,f5,c2,,Baseline,MinimaxAB,Baseline_Evaluator,8,110,405794,101839,227374,55136,436.802,f5c2,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
