batch_id,game_number,match_id,timestamp_utc,white_profile,black_profile,move_number,player_color,piece_type,from_square,to_square,promotion,result,result_type
20260420_122033,1,20260420_122033_g1,2026-04-20T12:20:42.0880110Z,Baseline,Baseline,1,White,Queen,b2,d4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_122033,1,20260420_122033_g1,2026-04-20T12:20:42.0880110Z,Baseline,Baseline,2,Black,King,b3,a3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_122033,1,20260420_122033_g1,2026-04-20T12:20:42.0880110Z,Baseline,Baseline,3,White,King,b1,a1,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_122033,1,20260420_122033_g1,2026-04-20T12:20:42.0880110Z,Baseline,Baseline,4,Black,King,a3,b3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_122033,1,20260420_122033_g1,2026-04-20T12:20:42.0880110Z,Baseline,Baseline,5,White,Queen,d4,c5,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_122033,1,20260420_122033_g1,2026-04-20T12:20:42.0880110Z,Baseline,Baseline,6,Black,King,b3,a4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_122033,1,20260420_122033_g1,2026-04-20T12:20:42.0880110Z,Baseline,Baseline,7,White,King,a1,b1,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_122033,1,20260420_122033_g1,2026-04-20T12:20:42.0880110Z,Baseline,Baseline,8,Black,King,a4,b3,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_122033,1,20260420_122033_g1,2026-04-20T12:20:42.0880110Z,Baseline,Baseline,9,White,King,b1,c1,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_122033,1,20260420_122033_g1,2026-04-20T12:20:42.0880110Z,Baseline,Baseline,10,Black,King,b3,a4,,Draw by threefold repetition.,DrawThreefoldRepetition
20260420_122033,1,20260420_122033_g1,2026-04-20T12:20:42.0880110Z,Baseline,Baseline,11,White,Queen,c5,b6,,Draw by threefold repetition.,DrawThreefoldRepetition
